sector,n,today,r5,r5p,r20,rank_now,rank_prev,d_rank,accel
交通运输,69,-0.17,0.6920415224913601,2.0270270270270174,4.089709762532978,8.0,32.0,-24.0,-1.3349855045356573
仪器仪表,23,0.0,-0.734908136482948,1.0825439783491264,-4.466019417475731,25.0,42.0,-17.0,-1.8174521148320744
传媒娱乐,29,0.18,2.4793388429751984,1.3114754098360715,3.0555555555555447,2.0,39.0,-37.0,1.1678634331391269
供水供气,25,-0.64,0.0,2.5000000000000133,1.9374575118966675,14.0,26.0,-12.0,-2.5000000000000133
公路桥梁,18,-0.485,0.20210185933711156,3.5192855243190824,3.125294477949492,12.0,12.0,0.0,-3.317183664981971
其它行业,33,0.0,-1.1333914559721103,1.4675052410901612,2.1621621621621623,31.0,38.0,-7.0,-2.6008966970622716
农林牧渔,50,2.0700000000000003,1.789205134337879,6.532517324315956,13.734962308963238,4.0,2.0,2.0,-4.743312189978077
农药化肥,42,0.0,-1.7444437355522147,4.714297203289308,2.403248712941597,38.0,3.0,35.0,-6.4587409388415224
化工行业,108,0.175,-1.900279316677217,3.4787774790795756,3.4216759658911355,40.0,14.0,26.0,-5.379056795756792
化纤行业,22,-0.33999999999999997,-2.14906539609403,4.083642987249537,1.8953903958944252,41.0,6.0,35.0,-6.232708383343566
医疗器械,9,-0.08,-1.6528925619834656,1.5310233682514163,-2.761000862812768,36.0,36.0,0.0,-3.183915930234882
印刷包装,15,0.3,-0.6369426751592355,3.44827586206895,2.2222222222222143,23.0,15.0,8.0,-4.085218537228186
发电设备,45,-0.55,-0.06854009595613775,1.0856453558504509,-2.5078369905956133,15.0,41.0,-26.0,-1.1541854518065886
商业百货,78,1.3,0.7446705403995835,3.2666399893290676,5.950217037438965,7.0,19.0,-12.0,-2.521969448929484
塑料制品,21,0.32,-1.5193370165745845,2.7247956403269713,1.81347150259068,34.0,24.0,10.0,-4.244132656901556
家具行业,14,0.0,0.5584664201610301,3.1304575619979014,6.596674673610082,11.0,21.0,-10.0,-2.5719911418368713
家电行业,32,-0.21,0.15624999999999112,0.4017857142857184,0.8990362633854998,13.0,45.0,-32.0,-0.2455357142857273
建筑建材,78,0.0,-0.7652078172309396,3.3612376354361984,3.147198992896316,26.0,17.0,9.0,-4.126445452667138
开发区,10,-0.83,0.6597012926126911,2.0429644048943207,3.379938585037967,9.0,30.0,-21.0,-1.3832631122816297
房地产,98,0.0,-0.9025025785787955,4.120186245028612,4.330005959475558,27.0,5.0,22.0,-5.022688823607408
有色金属,61,-0.53,-4.210526315789476,2.5796661608497695,-4.086956521739138,45.0,25.0,20.0,-6.790192476639246
服装鞋类,44,0.32,-0.19550974493886542,0.8979764397604395,1.994795094527313,16.0,43.0,-27.0,-1.093486184699305
机械行业,143,0.19,-0.2447980416156792,2.262443438914019,2.0769872683496393,17.0,28.0,-11.0,-2.5072414805296983
次新股,33,-0.05,-1.717791411042957,1.4985590778097801,-5.210237659963434,37.0,37.0,0.0,-3.216350488852737
水泥行业,24,-0.065,-1.3700189753320602,3.4796643305585073,0.6949806949806847,32.0,13.0,19.0,-4.849683305890568
汽车制造,89,-0.1,-0.2613240418118612,2.2727272727272707,0.9280742459396807,18.0,27.0,-9.0,-2.534051314539132
煤炭行业,37,-2.18,-3.926701570680624,7.0209464701318725,4.026845637583909,44.0,1.0,43.0,-10.947648040812496
物资外贸,20,0.135,-0.6588661193354439,3.2338762760294792,2.8205273907951356,24.0,20.0,4.0,-3.892742395364923
环保行业,14,-0.45,-1.412727376404177,3.8615633887397083,2.052480855642058,33.0,7.0,26.0,-5.274290765143885
玻璃行业,15,0.57,-1.810584958217265,1.8817204301075252,-1.2755102040816313,39.0,33.0,6.0,-3.6923053883247903
生物制药,116,0.1,-2.3018363311910264,1.6424248590725554,-2.397372742200327,42.0,34.0,8.0,-3.944261190263582
电力行业,59,-0.76,-0.5063291139240533,1.5655577299412915,-2.3809523809523836,20.0,35.0,-15.0,-2.071886843865345
电器行业,41,0.0,-0.6081668114682914,0.8733624454148492,1.2012012012011963,22.0,44.0,-22.0,-1.4815292568831406
电子信息,129,-0.58,0.561797752808979,2.211538461538476,0.0,10.0,29.0,-19.0,-1.6497407087294969
电子器件,90,1.24,-3.4123077286302763,1.1443575531956296,-2.7119419042495982,43.0,40.0,3.0,-4.5566652818259055
石油行业,17,-0.53,-0.9367681498828828,3.5264483627204024,3.7140204271123523,28.0,11.0,17.0,-4.463216512603285
纺织行业,34,0.085,-0.5428768791577276,4.259597574281293,2.9178114146493184,21.0,4.0,17.0,-4.802474453439021
综合行业,25,0.16,-0.9746588693957059,3.432494279176179,3.875968992248069,29.0,16.0,13.0,-4.407153148571885
造纸行业,22,0.365,-1.0076452045364004,3.5727557466687876,0.6783542604438142,30.0,10.0,20.0,-4.580400951205188
酒店旅游,30,1.3599999999999999,1.752682100508185,2.9895366218236186,5.965043905286405,5.0,23.0,-18.0,-1.2368545213154336
酿酒行业,32,-0.48,1.8330759417175768,2.0354659749990955,1.7392287750925717,3.0,31.0,-28.0,-0.20239003328151872
金融行业,47,-1.25,1.5590200445434244,3.305785123966931,2.433628318584069,6.0,18.0,-12.0,-1.7467650794235068
钢铁行业,51,-1.0550000000000002,-1.6129032258064502,3.782505910165468,0.5333333333333412,35.0,8.0,27.0,-5.395409135971918
飞机制造,13,-1.0,2.9743589743589594,3.625954198473269,4.692387904066719,1.0,9.0,-8.0,-0.6515952241143097
食品行业,49,1.08,-0.304878048780477,3.018788262613459,4.472843450479247,19.0,22.0,-3.0,-3.3236663113939358
