task_id=10febf3a0c5d  扫描=3047  匹配=17  错误=0  完成于 2026-09-01 09:00:00

| 排名 | 代码 | 名称 | 现价 | 涨跌幅% | 信号 | 评分 | 小时金叉距今 | 5分金叉距今 | 小时鲜 | 5分鲜 |
| 1 | 600050 | 中国联通 | 4.30 | 0.47 | strong_buy | 98 | 1 | 12 | √ | √ |
| 2 | 600109 | 国金证券 | 8.70 | -0.57 | strong_buy | 98 | 2 | 6 | √ | √ |
| 3 | 000089 | 深圳机场 | 6.53 | -0.46 | strong_buy | 90 | 5 | 11 | × | √ |
| 4 | 000630 | 铜陵有色 | 6.67 | -1.33 | strong_buy | 90 | 5 | 7 | × | √ |
| 5 | 000889 | 中嘉博创 | 4.02 | 0.00 | buy | 62 | 1 | 25 | √ | × |
| 6 | 002062 | 宏润建设 | 8.20 | 3.93 | buy | 62 | 3 | 21 | √ | × |
| 7 | 002401 | 中远海科 | 12.38 | 0.32 | buy | 62 | 6 | 28 | × | × |
| 8 | 002828 | 贝肯能源 | 12.39 | -2.06 | buy | 62 | 6 | 14 | × | × |
| 9 | 002958 | 青农商行 | 2.94 | 0.68 | buy | 62 | 0 | 37 | √ | × |
| 10 | 600037 | 歌华有线 | 7.14 | 0.00 | buy | 62 | 5 | 17 | × | × |
| 11 | 600362 | 江西铜业 | 48.40 | -1.24 | buy | 62 | 7 | 22 | × | × |
| 12 | 600497 | 驰宏锌锗 | 10.47 | -0.95 | buy | 62 | 4 | 17 | √ | × |
| 13 | 600718 | 东软集团 | 8.29 | -0.24 | buy | 62 | 1 | 32 | √ | × |
| 14 | 600822 | 上海物贸 | 8.52 | -0.93 | buy | 62 | 2 | 20 | √ | × |
| 15 | 601168 | 西部矿业 | 39.40 | 0.72 | buy | 62 | 0 | 21 | √ | × |
| 16 | 603518 | 锦泓集团 | 8.13 | 0.62 | buy | 62 | 1 | 47 | √ | × |
| 17 | 603700 | 宁水集团 | 11.90 | 3.30 | buy | 62 | 0 | 40 | √ | × |
